OrderID,Product,Category,Quantity,Price,City,Date
2001,Laptop,Electronics,2,55000,Delhi,2026-07-01
2002,Shirt,Fashion,5,1200,Mumbai,2026-07-02
2003,Mobile,Electronics,1,22000,Pune,2026-07-03
2004,Shoes,Fashion,2,3500,Nagpur,2026-07-04
2005,Book,Stationery,10,300,Bangalore,2026-07-05
2006,Tablet,Electronics,3,18000,Delhi,2026-07-06
2007,Watch,Fashion,4,2500,Mumbai,2026-07-07
2008,Pen,Stationery,20,50,Pune,2026-07-08
2009,Headphones,Electronics,5,1500,Hyderabad,2026-07-09
2010,Dress,Fashion,3,2500,Chennai,2026-07-10
2011,Notebook,Stationery,15,100,Delhi,2026-07-11
2012,Camera,Electronics,2,35000,Mumbai,2026-07-12
2013,T-shirt,Fashion,6,800,Pune,2026-07-13
2014,Bag,Stationery,8,600,Nagpur,2026-07-14
2015,Monitor,Electronics,1,12000,Bangalore,2026-07-15
2016,Jeans,Fashion,4,2000,Delhi,2026-07-16
2017,Marker,Stationery,25,40,Mumbai,2026-07-17
2018,Keyboard,Electronics,3,2500,Pune,2026-07-18
2019,Cap,Fashion,7,500,Hyderabad,2026-07-19
2020,File,Stationery,12,150,Chennai,2026-07-20
2021,Printer,Electronics,2,8000,Delhi,2026-07-21
2022,Socks,Fashion,10,200,Mumbai,2026-07-22
2023,Glue,Stationery,18,60,Pune,2026-07-23
2024,Speaker,Electronics,1,5000,Nagpur,2026-07-24
2025,Skirt,Fashion,2,1800,Bangalore,2026-07-25
2026,Stapler,Stationery,10,120,Delhi,2026-07-26
2027,Mouse,Electronics,4,1200,Mumbai,2026-07-27
2028,Jacket,Fashion,3,3500,Pune,2026-07-28
2029,Paper,Stationery,30,20,Nagpur,2026-07-29
2030,TV,Electronics,1,45000,Bangalore,2026-07-30
2031,Belt,Fashion,5,700,Delhi,2026-07-31
2032,Scissors,Stationery,8,80,Mumbai,2026-08-01
2033,Charger,Electronics,6,1000,Pune,2026-08-02
2034,Top,Fashion,4,1500,Nagpur,2026-08-03
2035,PenDrive,Electronics,10,600,Bangalore,2026-08-04
2036,Book,Fashion,2,400,Delhi,2026-08-05
2037,GlueStick,Stationery,15,50,Mumbai,2026-08-06
2038,Tablet,Electronics,2,20000,Pune,2026-08-07
2039,Shoes,Fashion,3,3000,Nagpur,2026-08-08
2040,Notebook,Stationery,20,120,Bangalore,2026-08-09
2041,Camera,Electronics,1,40000,Delhi,2026-08-10
2042,Shirt,Fashion,6,1000,Mumbai,2026-08-11
2043,Pen,Stationery,25,60,Pune,2026-08-12
2044,Monitor,Electronics,2,15000,Nagpur,2026-08-13
2045,Watch,Fashion,5,3000,Bangalore,2026-08-14
2046,File,Stationery,10,200,Delhi,2026-08-15
2047,Headphones,Electronics,3,2000,Mumbai,2026-08-16
2048,Dress,Fashion,2,2800,Pune,2026-08-17
2049,Paper,Stationery,40,25,Nagpur,2026-08-18
2050,TV,Electronics,1,50000,Bangalore,2026-08-19
